City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,tolanaro,-25.0319,46.9987,63.63,90,1,7.23,MG,1722816619
83,dauphin,51.1494,-100.0502,72.54,37,79,6.71,CA,1722816621
84,comstock northwest,42.3218,-85.5176,83.48,57,0,5.75,US,1722816622
85,bilibino,68.0546,166.4372,48.47,56,77,6.6,RU,1722816623
86,mount isa,-20.7333,139.5,71.37,49,75,5.75,AU,1722816624
87,pemangkat,1.1667,108.9667,79.61,85,97,5.79,ID,1722816625
88,booue,-0.0921,11.9385,72.57,77,73,2.89,GA,1722816626
89,saurimo,-9.6608,20.3916,63.0,31,57,3.65,AO,1722816628
90,uturoa,-16.7333,-151.4333,76.35,71,2,16.67,PF,1722816629
91,margaret river,-33.95,115.0667,61.14,68,89,13.69,AU,1722816630
92,magdagachi,53.45,125.8,62.35,99,100,6.38,RU,1722816631
93,puerto cabezas,14.0351,-83.3888,80.37,86,31,4.29,NI,1722816632
94,kimbe,-5.5502,150.1429,84.13,72,94,3.42,PG,1722816633
95,tralee,52.2704,-9.7026,63.23,98,95,7.16,IE,1722816634
96,san patricio,28.017,-97.5169,91.54,51,4,14.7,US,1722816637
97,port lincoln,-34.7333,135.8667,53.92,74,81,3.51,AU,1722816639
98,tibati,6.4667,12.6333,64.58,97,96,1.86,CM,1722816640
99,garachico,28.7781,-17.7646,70.48,78,75,13.8,ES,1722816641
100,enewetak,11.3474,162.3373,83.88,77,88,9.75,MH,1722816642
101,saint-francois,46.4154,3.9054,60.24,95,0,3.44,FR,1722816520
102,phanat nikhom,13.4458,101.1844,79.92,99,100,3.71,TH,1722816645
103,howrah,22.5892,88.3103,84.2,94,75,4.61,IN,1722816646
104,sitka,57.0531,-135.33,78.69,36,0,6.91,US,1722816648
105,guerrero negro,27.9769,-114.0611,75.9,64,20,14.72,MX,1722816649
106,lata,40.1629,-8.3327,63.07,97,6,2.42,PT,1722816651
107,east london,-33.0153,27.9116,58.05,53,73,21.34,ZA,1722816652
108,bouarfa,32.53,-1.95,81.86,16,87,1.48,MA,1722816653
109,franceville,-1.6333,13.5836,76.95,59,94,1.9,GA,1722816654
110,jamestown,42.097,-79.2353,74.84,60,0,5.75,US,1722816454
111,vernon,50.2581,-119.2691,100.29,16,64,3.0,CA,1722816629
112,isla mujeres,21.2311,-86.731,78.85,80,93,9.22,MX,1722816658
113,porto novo,6.4965,2.6036,76.05,79,87,7.14,BJ,1722816659
114,taulaga,-11.0553,-171.0883,81.01,80,61,12.93,AS,1722816660
115,adamstown,-25.066,-130.1015,70.2,79,91,16.24,PN,1722816553
